Products,SKUs, Device ,"Price for Students, Staff, and Faculty","Price for Students, Staff, and Faculty",Price for Alumni
Airpods 3rd Generation,2520047, $179.00 , $159.00 , $159.00 , $171.32 
AirPods Pro,2526690, $249.00 , $229.00 , $229.00 , $246.75 
AirPods Max,,,,,
Space Gray,2121456, $549.00 , $499.00 , $499.00 , $537.67 
Silver,2121457, $549.00 , $499.00 , $499.00 , $537.67 
Pink,2121459, $549.00 , $499.00 , $499.00 , $537.67 
Green,2121460, $549.00 , $499.00 , $499.00 , $537.67 
Sky Blue,2121458, $549.00 , $499.00 , $499.00 , $537.67 
"iPad Pros (11"")",,,,,
128GB - Space Gray,2300010, $799.00 , $779.00 , $779.00 , $839.37 
128GB - Silver,2300011, $799.00 , $779.00 , $779.00 , $839.37 
256GB - Space Gray,2300012, $899.00 , $879.00 , $879.00 , $947.12 
256GB - Silver,2300013, $899.00 , $879.00 , $879.00 , $947.12 
512GB - Space Gray,2300014," $1,099.00 "," $1,079.00 "," $1,079.00 "," $1,162.62 "
512GB - Silver,2300015," $1,099.00 "," $1,079.00 "," $1,079.00 "," $1,162.62 "
1TB - Space Gray,2300016," $1,499.00 "," $1,479.00 "," $1,479.00 "," $1,593.62 "
1TB - Silver,2300017," $1,499.00 "," $1,479.00 "," $1,479.00 "," $1,593.62 "
2TB - Space Gray,2300018," $1,899.00 "," $1,879.00 "," $1,879.00 "," $2,024.62 "
2TB - Silver,2300019," $1,899.00 "," $1,879.00 "," $1,879.00 "," $2,024.62 "
"iPad Pros + Cellular (11"")",,,,,
128GB - Space Gray,2300030, $999.00 , $979.00 , $979.00 ," $1,054.87 "
128GB - Silver,2300031, $999.00 , $979.00 , $979.00 ," $1,054.87 "
256GB - Space Gray,2300032," $1,099.00 "," $1,079.00 "," $1,079.00 "," $1,162.62 "
256GB - Silver,2300033," $1,099.00 "," $1,079.00 "," $1,079.00 "," $1,162.62 "
512GB - Space Gray,2300034," $1,299.00 "," $1,279.00 "," $1,279.00 "," $1,378.12 "
512GB - Silver,2300035," $1,299.00 "," $1,279.00 "," $1,279.00 "," $1,378.12 "
1TB - Space Gray,2300036," $1,699.00 "," $1,679.00 "," $1,679.00 "," $1,809.12 "
1TB - Silver,2300037," $1,699.00 "," $1,679.00 "," $1,679.00 "," $1,809.12 "
2TB - Space Gray,2300038," $2,099.00 "," $2,079.00 "," $2,079.00 "," $2,240.12 "
2TB - Silver,2300039," $2,099.00 "," $2,079.00 "," $2,079.00 "," $2,240.12 "
"iPad Pros (12.9"")",,,,,
128GB - Space Gray,2300000," $1,099.00 "," $1,079.00 "," $1,079.00 "," $1,162.62 "
128GB - Silver,2300001," $1,099.00 "," $1,079.00 "," $1,079.00 "," $1,162.62 "
256GB - Space Gray,2300002," $1,199.00 "," $1,179.00 "," $1,179.00 "," $1,270.37 "
256GB - Silver,2300003," $1,199.00 "," $1,179.00 "," $1,179.00 "," $1,270.37 "
512GB - Space Gray,2300004," $1,399.00 "," $1,379.00 "," $1,379.00 "," $1,485.87 "
512GB - Silver,2300005," $1,399.00 "," $1,379.00 "," $1,379.00 "," $1,485.87 "
1TB - Space Gray,2300006," $1,799.00 "," $1,779.00 "," $1,779.00 "," $1,916.87 "
1TB - Silver,2300007," $1,799.00 "," $1,779.00 "," $1,779.00 "," $1,916.87 "
2TB - Space Gray,2300008," $2,199.00 "," $2,179.00 "," $2,179.00 "," $2,347.87 "
2TB - Silver,2300009," $2,199.00 "," $2,179.00 "," $2,179.00 "," $2,347.87 "
"iPad Pros + Cellular (12.9"")",,,,,
128GB - Space Gray,2300020," $1,299.00 "," $1,279.00 "," $1,279.00 "," $1,378.12 "
128GB - SIlver,2300021," $1,299.00 "," $1,279.00 "," $1,279.00 "," $1,378.12 "
256GB - Space Gray,2300022," $1,399.00 "," $1,379.00 "," $1,379.00 "," $1,485.87 "
256GB - Silver,2300023," $1,399.00 "," $1,379.00 "," $1,379.00 "," $1,485.87 "
512GB - Space Gray,2300024," $1,599.00 "," $1,579.00 "," $1,579.00 "," $1,701.37 "
512GB - Silver,2300025," $1,599.00 "," $1,579.00 "," $1,579.00 "," $1,701.37 "
1TB - Space Gray,2300026," $1,999.00 "," $1,979.00 "," $1,979.00 "," $2,132.37 "
1TB - Silver,2300027," $1,999.00 "," $1,979.00 "," $1,979.00 "," $2,132.37 "
2TB - Space Gray,2300028," $2,399.00 "," $2,379.00 "," $2,379.00 "," $2,563.37 "
2TB - Silver,2300029," $2,399.00 "," $2,379.00 "," $2,379.00 "," $2,563.37 "
"iMac (21.5"")",,,,,
"i5, 8GB RAM, 256 SSD",2300040," $1,049.00 ", $899.00 , $899.00 , $968.67 
"4K iMac (21.5"")",,,,,
"i3, 8GB RAM, 256 SSD",2119990," $1,203.00 "," $1,053.00 "," $1,053.00 "," $1,134.61 "
"i5, 8GB RAM, 256 SSD",2119991," $1,353.00 "," $1,203.00 "," $1,203.00 "," $1,296.23 "
"5K iMac (27"")",,,,,
"i5, 8GB RAM, 256 SSD",2300053," $1,799.00 "," $1,749.00 "," $1,749.00 "," $1,884.55 "
"i5, 8GB RAM, 512 SSD",2300054," $1,999.00 "," $1,949.00 "," $1,949.00 "," $2,100.05 "
"i7, 8GB RAM, 512 SSD",2300055," $2,299.00 "," $2,249.00 "," $2,249.00 "," $2,423.30 "
